administration_type,government_institution,sector,project_name,project_description,gps_code,nature_of_investment,infrastructure_type,current_project_stage,sip_category,project_value_rands,br_featured,featured,financial_year,budget_phase,amount_rands,project_slug
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military hospitals,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-34.004, 18.4546",New infrastructure assets,Hospital,Construction,Not related to SIPs,936152000,,True,2018,Audited Outcome,106457000,defence-refurbishment-of-military-hospitals
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military hospitals,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-34.004, 18.4546",New infrastructure assets,Hospital,Construction,Not related to SIPs,936152000,,True,2019,Adjusted Appropriation,48100000,defence-refurbishment-of-military-hospitals
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military hospitals,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-34.004, 18.4546",New infrastructure assets,Hospital,Construction,Not related to SIPs,936152000,,True,2020,MTEF,7275000,defence-refurbishment-of-military-hospitals
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military hospitals,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-34.004, 18.4546",New infrastructure assets,Hospital,Construction,Not related to SIPs,936152000,,True,2021,MTEF,0,defence-refurbishment-of-military-hospitals
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military hospitals,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-34.004, 18.4546",New infrastructure assets,Hospital,Construction,Not related to SIPs,936152000,,True,2022,MTEF,0,defence-refurbishment-of-military-hospitals
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511, 27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,,True,2016,Audited Outcome,166263000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511, 27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,,True,2017,Audited Outcome,117567000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511, 27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,,True,2018,Audited Outcome,259648000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511, 27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,,True,2019,Adjusted Appropriation,128684000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511, 27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,,True,2020,MTEF,263000000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511, 27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,,True,2021,MTEF,150000000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511, 27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,,True,2022,MTEF,150000000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133, 27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,,True,2016,Audited Outcome,44087000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133, 27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,,True,2017,Audited Outcome,10078000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133, 27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,,True,2018,Audited Outcome,0,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133, 27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,,True,2019,Adjusted Appropriation,76800000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133, 27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,,True,2020,MTEF,100000000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133, 27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,,True,2021,MTEF,220000000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133, 27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,,True,2022,MTEF,300000000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sekororo-Mametja  bulk water supply phase 1,Construction of new bulk water scheme,"-24.383740, 30.545252",New infrastructure assets,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,342788000,,True,2016,Audited Outcome,33435000,water-and-sanitation-sekororo-mametja-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Sekororo-Mametja  bulk water supply phase 1,Construction of new bulk water scheme,"-24.383740, 30.545252",New infrastructure assets,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,342788000,,True,2017,Audited Outcome,5131000,water-and-sanitation-sekororo-mametja-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Sekororo-Mametja  bulk water supply phase 1,Construction of new bulk water scheme,"-24.383740, 30.545252",New infrastructure assets,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,342788000,,True,2018,Audited Outcome,35342000,water-and-sanitation-sekororo-mametja-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Sekororo-Mametja  bulk water supply phase 1,Construction of new bulk water scheme,"-24.383740, 30.545252",New infrastructure assets,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,342788000,,True,2019,Adjusted Appropriation,70000000,water-and-sanitation-sekororo-mametja-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Sekororo-Mametja  bulk water supply phase 1,Construction of new bulk water scheme,"-24.383740, 30.545252",New infrastructure assets,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,342788000,,True,2020,MTEF,50000000,water-and-sanitation-sekororo-mametja-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Sekororo-Mametja  bulk water supply phase 1,Construction of new bulk water scheme,"-24.383740, 30.545252",New infrastructure assets,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,342788000,,True,2021,MTEF,144500000,water-and-sanitation-sekororo-mametja-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Sekororo-Mametja  bulk water supply phase 1,Construction of new bulk water scheme,"-24.383740, 30.545252",New infrastructure assets,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,342788000,,True,2022,MTEF,210000000,water-and-sanitation-sekororo-mametja-bulk-water-supply-phase-1
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Soshanguve magistrate’s office,Extension of an existing building,"-25.5296082, 28.0959831",Upgrading and additions,Magistrate Office,Design,Not related to SIPs,424452000,,True,2016,Audited Outcome,22521000,justice-and-constitutional-development-soshanguve-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Soshanguve magistrate’s office,Extension of an existing building,"-25.5296082, 28.0959831",Upgrading and additions,Magistrate Office,Design,Not related to SIPs,424452000,,True,2017,Audited Outcome,211000,justice-and-constitutional-development-soshanguve-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Soshanguve magistrate’s office,Extension of an existing building,"-25.5296082, 28.0959831",Upgrading and additions,Magistrate Office,Design,Not related to SIPs,424452000,,True,2018,Audited Outcome,10285000,justice-and-constitutional-development-soshanguve-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Soshanguve magistrate’s office,Extension of an existing building,"-25.5296082, 28.0959831",Upgrading and additions,Magistrate Office,Design,Not related to SIPs,424452000,,True,2019,Adjusted Appropriation,31108000,justice-and-constitutional-development-soshanguve-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Soshanguve magistrate’s office,Extension of an existing building,"-25.5296082, 28.0959831",Upgrading and additions,Magistrate Office,Design,Not related to SIPs,424452000,,True,2020,MTEF,71229000,justice-and-constitutional-development-soshanguve-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Soshanguve magistrate’s office,Extension of an existing building,"-25.5296082, 28.0959831",Upgrading and additions,Magistrate Office,Design,Not related to SIPs,424452000,,True,2021,MTEF,49758000,justice-and-constitutional-development-soshanguve-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Soshanguve magistrate’s office,Extension of an existing building,"-25.5296082, 28.0959831",Upgrading and additions,Magistrate Office,Design,Not related to SIPs,424452000,,True,2022,MTEF,57745900,justice-and-constitutional-development-soshanguve-magistrates-office
National,Water and Sanitation,Economic Services and Infrastructure,Thembisile bulk water supply (Loskop) phase 1 of 3,Construction of new bulk water scheme,"-25.474388, 29.115971",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1500000000,,True,2016,Audited Outcome,0,water-and-sanitation-thembisile-bulk-water-supply-loskop-phase-1-of-3
National,Water and Sanitation,Economic Services and Infrastructure,Thembisile bulk water supply (Loskop) phase 1 of 3,Construction of new bulk water scheme,"-25.474388, 29.115971",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1500000000,,True,2017,Audited Outcome,0,water-and-sanitation-thembisile-bulk-water-supply-loskop-phase-1-of-3
National,Water and Sanitation,Economic Services and Infrastructure,Thembisile bulk water supply (Loskop) phase 1 of 3,Construction of new bulk water scheme,"-25.474388, 29.115971",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1500000000,,True,2018,Audited Outcome,0,water-and-sanitation-thembisile-bulk-water-supply-loskop-phase-1-of-3
National,Water and Sanitation,Economic Services and Infrastructure,Thembisile bulk water supply (Loskop) phase 1 of 3,Construction of new bulk water scheme,"-25.474388, 29.115971",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1500000000,,True,2019,Adjusted Appropriation,100000000,water-and-sanitation-thembisile-bulk-water-supply-loskop-phase-1-of-3
National,Water and Sanitation,Economic Services and Infrastructure,Thembisile bulk water supply (Loskop) phase 1 of 3,Construction of new bulk water scheme,"-25.474388, 29.115971",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1500000000,,True,2020,MTEF,32498000,water-and-sanitation-thembisile-bulk-water-supply-loskop-phase-1-of-3
National,Water and Sanitation,Economic Services and Infrastructure,Thembisile bulk water supply (Loskop) phase 1 of 3,Construction of new bulk water scheme,"-25.474388, 29.115971",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1500000000,,True,2021,MTEF,75000000,water-and-sanitation-thembisile-bulk-water-supply-loskop-phase-1-of-3
National,Water and Sanitation,Economic Services and Infrastructure,Thembisile bulk water supply (Loskop) phase 1 of 3,Construction of new bulk water scheme,"-25.474388, 29.115971",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1500000000,,True,2022,MTEF,45000000,water-and-sanitation-thembisile-bulk-water-supply-loskop-phase-1-of-3
National,Water and Sanitation,Economic Services and Infrastructure,Tokologo regional water supply phase 2,Upgrading of bulk water scheme,"-25.771737, 29.402527",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,500191000,,True,2016,Audited Outcome,96118000,water-and-sanitation-tokologo-regional-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Tokologo regional water supply phase 2,Upgrading of bulk water scheme,"-25.771737, 29.402527",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,500191000,,True,2017,Audited Outcome,104104000,water-and-sanitation-tokologo-regional-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Tokologo regional water supply phase 2,Upgrading of bulk water scheme,"-25.771737, 29.402527",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,500191000,,True,2018,Audited Outcome,69692000,water-and-sanitation-tokologo-regional-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Tokologo regional water supply phase 2,Upgrading of bulk water scheme,"-25.771737, 29.402527",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,500191000,,True,2019,Adjusted Appropriation,90000000,water-and-sanitation-tokologo-regional-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Tokologo regional water supply phase 2,Upgrading of bulk water scheme,"-25.771737, 29.402527",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,500191000,,True,2020,MTEF,100000000,water-and-sanitation-tokologo-regional-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Tokologo regional water supply phase 2,Upgrading of bulk water scheme,"-25.771737, 29.402527",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,500191000,,True,2021,MTEF,50000000,water-and-sanitation-tokologo-regional-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Tokologo regional water supply phase 2,Upgrading of bulk water scheme,"-25.771737, 29.402527",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,500191000,,True,2022,MTEF,30000000,water-and-sanitation-tokologo-regional-water-supply-phase-2
National,Defence,"Justice, Crime Prevention and Security",Upgrading of kitchens,Construction and upgrade of kitchens at military bases (capital projects),"-23.860250, 29.452250",Rehabilitation and refurbishment,Kitchens,Various,Not related to SIPs,570202000,,True,2016,Audited Outcome,11209000,defence-upgrading-of-kitchens
National,Defence,"Justice, Crime Prevention and Security",Upgrading of kitchens,Construction and upgrade of kitchens at military bases (capital projects),"-23.860250, 29.452250",Rehabilitation and refurbishment,Kitchens,Various,Not related to SIPs,570202000,,True,2017,Audited Outcome,89431000,defence-upgrading-of-kitchens
National,Defence,"Justice, Crime Prevention and Security",Upgrading of kitchens,Construction and upgrade of kitchens at military bases (capital projects),"-23.860250, 29.452250",Rehabilitation and refurbishment,Kitchens,Various,Not related to SIPs,570202000,,True,2018,Audited Outcome,100235000,defence-upgrading-of-kitchens
National,Defence,"Justice, Crime Prevention and Security",Upgrading of kitchens,Construction and upgrade of kitchens at military bases (capital projects),"-23.860250, 29.452250",Rehabilitation and refurbishment,Kitchens,Various,Not related to SIPs,570202000,,True,2019,Adjusted Appropriation,45914000,defence-upgrading-of-kitchens
National,Defence,"Justice, Crime Prevention and Security",Upgrading of kitchens,Construction and upgrade of kitchens at military bases (capital projects),"-23.860250, 29.452250",Rehabilitation and refurbishment,Kitchens,Various,Not related to SIPs,570202000,,True,2020,MTEF,47261000,defence-upgrading-of-kitchens
National,Defence,"Justice, Crime Prevention and Security",Upgrading of kitchens,Construction and upgrade of kitchens at military bases (capital projects),"-23.860250, 29.452250",Rehabilitation and refurbishment,Kitchens,Various,Not related to SIPs,570202000,,True,2021,MTEF,9631000,defence-upgrading-of-kitchens
National,Defence,"Justice, Crime Prevention and Security",Upgrading of kitchens,Construction and upgrade of kitchens at military bases (capital projects),"-23.860250, 29.452250",Rehabilitation and refurbishment,Kitchens,Various,Not related to SIPs,570202000,,True,2022,MTEF,0,defence-upgrading-of-kitchens
National,Water and Sanitation,Economic Services and Infrastructure,Vaal River System Pollution Intervention,Refurbishment,"-29.620447, 30.368449",Rehabilitation and refurbishment,Pollution Intervention,Construction,SIP 6: Integrated municipal infrastructure project,1200000000,,True,2016,Audited Outcome,0,water-and-sanitation-vaal-river-system-pollution-intervention
National,Water and Sanitation,Economic Services and Infrastructure,Vaal River System Pollution Intervention,Refurbishment,"-29.620447, 30.368449",Rehabilitation and refurbishment,Pollution Intervention,Construction,SIP 6: Integrated municipal infrastructure project,1200000000,,True,2017,Audited Outcome,0,water-and-sanitation-vaal-river-system-pollution-intervention
National,Water and Sanitation,Economic Services and Infrastructure,Vaal River System Pollution Intervention,Refurbishment,"-29.620447, 30.368449",Rehabilitation and refurbishment,Pollution Intervention,Construction,SIP 6: Integrated municipal infrastructure project,1200000000,,True,2018,Audited Outcome,0,water-and-sanitation-vaal-river-system-pollution-intervention
National,Water and Sanitation,Economic Services and Infrastructure,Vaal River System Pollution Intervention,Refurbishment,"-29.620447, 30.368449",Rehabilitation and refurbishment,Pollution Intervention,Construction,SIP 6: Integrated municipal infrastructure project,1200000000,,True,2019,Adjusted Appropriation,234000000,water-and-sanitation-vaal-river-system-pollution-intervention
National,Water and Sanitation,Economic Services and Infrastructure,Vaal River System Pollution Intervention,Refurbishment,"-29.620447, 30.368449",Rehabilitation and refurbishment,Pollution Intervention,Construction,SIP 6: Integrated municipal infrastructure project,1200000000,,True,2020,MTEF,750000000,water-and-sanitation-vaal-river-system-pollution-intervention
National,Water and Sanitation,Economic Services and Infrastructure,Vaal River System Pollution Intervention,Refurbishment,"-29.620447, 30.368449",Rehabilitation and refurbishment,Pollution Intervention,Construction,SIP 6: Integrated municipal infrastructure project,1200000000,,True,2021,MTEF,0,water-and-sanitation-vaal-river-system-pollution-intervention
National,Water and Sanitation,Economic Services and Infrastructure,Vaal River System Pollution Intervention,Refurbishment,"-29.620447, 30.368449",Rehabilitation and refurbishment,Pollution Intervention,Construction,SIP 6: Integrated municipal infrastructure project,1200000000,,True,2022,MTEF,0,water-and-sanitation-vaal-river-system-pollution-intervention
National,Water and Sanitation,Economic Services and Infrastructure,Welbedacht pipeline,Construction of new bulk water scheme,"-29.860194, 26.891650",New infrastructure assets,Bulk Water Supply,Tender,SIP 6: Integrated municipal infrastructure project,500000000,,True,2016,Audited Outcome,17090000,water-and-sanitation-welbedacht-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Welbedacht pipeline,Construction of new bulk water scheme,"-29.860194, 26.891650",New infrastructure assets,Bulk Water Supply,Tender,SIP 6: Integrated municipal infrastructure project,500000000,,True,2017,Audited Outcome,89859000,water-and-sanitation-welbedacht-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Welbedacht pipeline,Construction of new bulk water scheme,"-29.860194, 26.891650",New infrastructure assets,Bulk Water Supply,Tender,SIP 6: Integrated municipal infrastructure project,500000000,,True,2018,Audited Outcome,89908000,water-and-sanitation-welbedacht-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Welbedacht pipeline,Construction of new bulk water scheme,"-29.860194, 26.891650",New infrastructure assets,Bulk Water Supply,Tender,SIP 6: Integrated municipal infrastructure project,500000000,,True,2019,Adjusted Appropriation,192229000,water-and-sanitation-welbedacht-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Welbedacht pipeline,Construction of new bulk water scheme,"-29.860194, 26.891650",New infrastructure assets,Bulk Water Supply,Tender,SIP 6: Integrated municipal infrastructure project,500000000,,True,2020,MTEF,0,water-and-sanitation-welbedacht-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Welbedacht pipeline,Construction of new bulk water scheme,"-29.860194, 26.891650",New infrastructure assets,Bulk Water Supply,Tender,SIP 6: Integrated municipal infrastructure project,500000000,,True,2021,MTEF,0,water-and-sanitation-welbedacht-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Welbedacht pipeline,Construction of new bulk water scheme,"-29.860194, 26.891650",New infrastructure assets,Bulk Water Supply,Tender,SIP 6: Integrated municipal infrastructure project,500000000,,True,2022,MTEF,0,water-and-sanitation-welbedacht-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582, 27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,,True,2016,Audited Outcome,1314000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582, 27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,,True,2017,Audited Outcome,1036000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582, 27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,,True,2018,Audited Outcome,0,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582, 27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,,True,2019,Adjusted Appropriation,70000000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582, 27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,,True,2020,MTEF,7747000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582, 27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,,True,2021,MTEF,140714000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582, 27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,,True,2022,MTEF,300000000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Xhora east bulk water supply,Construction of new bulk water scheme,"-32.144937, 28.971268",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,620227000,,True,2016,Audited Outcome,33046000,water-and-sanitation-xhora-east-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Xhora east bulk water supply,Construction of new bulk water scheme,"-32.144937, 28.971268",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,620227000,,True,2017,Audited Outcome,51103000,water-and-sanitation-xhora-east-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Xhora east bulk water supply,Construction of new bulk water scheme,"-32.144937, 28.971268",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,620227000,,True,2018,Audited Outcome,96626000,water-and-sanitation-xhora-east-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Xhora east bulk water supply,Construction of new bulk water scheme,"-32.144937, 28.971268",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,620227000,,True,2019,Adjusted Appropriation,99694000,water-and-sanitation-xhora-east-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Xhora east bulk water supply,Construction of new bulk water scheme,"-32.144937, 28.971268",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,620227000,,True,2020,MTEF,56366000,water-and-sanitation-xhora-east-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Xhora east bulk water supply,Construction of new bulk water scheme,"-32.144937, 28.971268",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,620227000,,True,2021,MTEF,0,water-and-sanitation-xhora-east-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Xhora east bulk water supply,Construction of new bulk water scheme,"-32.144937, 28.971268",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,620227000,,True,2022,MTEF,0,water-and-sanitation-xhora-east-bulk-water-supply
